"morphology","valid start year","valid end year","start year","end year","same primary"
"9742/3","2001",,"2001","2009","9590/3"
"9742/3","2001",,"2001","2009","9740/3"
"9742/3","2001",,"2001","2009","9741/3"
"9742/3","2001",,"2010",,"9800/3"
"9742/3","2001",,"2010",,"9801/3"
"9742/3","2001",,"2010",,"9960/3"
"9742/3","2001",,"2010",,"9975/3"
"9741/3","2001",,"2001","2009","9590/3"
"9741/3","2001",,"2001","2009","9740/3"
"9741/3","2001",,"2001","2009","9742/3"
"9741/3","2001",,"2010",,"9960/3"
"9741/3","2001",,"2010",,"9975/3"
"9968/3","2021",,"2021",,"9800/3"
"9968/3","2021",,"2021",,"9801/3"
"9968/3","2021",,"2021",,"9860/3"
"9968/3","2021",,"2021",,"9861/3"
"9766/3","2021",,"2021",,"9590/3"
"9766/3","2021",,"2021",,"9591/3"
"9812/3","2010",,"2010",,"9590/3"
"9812/3","2010",,"2010",,"9591/3"
"9812/3","2010",,"2010",,"9728/3"
"9812/3","2010",,"2010",,"9800/3"
"9812/3","2010",,"2010",,"9801/3"
"9812/3","2010",,"2010",,"9811/3"
"9812/3","2010",,"2010",,"9820/3"
"9812/3","2010",,"2010",,"9835/3"
"9812/3","2010",,"2010",,"9836/3"
"9754/3","2001","2009","2001","2009","9590/3"
"9754/3","2001","2009","2001",,"9750/3"
"9754/3","2001","2009","2010",,"9751/3"
"9754/3","2001","2009","2001",,"9755/3"
"9754/3","2001","2009","2001",,"9756/3"
"9715/3","2021",,"2021",,"9590/3"
"9715/3","2021",,"2021",,"9591/3"
"9684/3","2001","2009","2001",,"9590/3"
"9684/3","2001","2009","2001",,"9591/3"
"9684/3","2001","2009","2001","2009","9596/3"
"9684/3","2001","2009","2001","2009","9670/3"
"9684/3","2001","2009","2001","2009","9671/3"
"9684/3","2001","2009","2001","2009","9675/3"
"9684/3","2001","2009","2001","2009","9678/3"
"9684/3","2001","2009","2001","2009","9679/3"
"9684/3","2001","2009","2001",,"9680/3"
"9684/3","2001","2009","2001","2009","9687/3"
"9684/3","2001","2009","2001","2009","9690/3"
"9684/3","2001","2009","2001","2009","9691/3"
"9684/3","2001","2009","2001","2009","9695/3"
"9684/3","2001","2009","2001","2009","9698/3"
"9684/3","2001","2009","2010",,"9735/3"
"9684/3","2001","2009","2010",,"9737/3"
"9684/3","2001","2009","2001","2009","9760/3"
"9684/3","2001","2009","2001",,"9761/3"
"9684/3","2001","2009","2001","2009","9762/3"
"9684/3","2001","2009","2001","2009","9764/3"
"9684/3","2001","2009","2001","2009","9805/3"
"9684/3","2001","2009","2001","2009","9820/3"
"9684/3","2001","2009","2001","2009","9823/3"
"9684/3","2001","2009","2001","2009","9832/3"
"9684/3","2001","2009","2001","2009","9833/3"
"9728/3","2001","2009","2001",,"9590/3"
"9728/3","2001","2009","2001",,"9591/3"
"9728/3","2001","2009","2001","2009","9596/3"
"9728/3","2001","2009","2001","2009","9727/3"
"9728/3","2001","2009","2001","2009","9729/3"
"9728/3","2001","2009","2001",,"9800/3"
"9728/3","2001","2009","2001",,"9801/3"
"9728/3","2001","2009","2001","2009","9805/3"
"9728/3","2001","2009","2010",,"9811/3"
"9728/3","2001","2009","2010",,"9812/3"
"9728/3","2001","2009","2010",,"9813/3"
"9728/3","2001","2009","2010",,"9814/3"
"9728/3","2001","2009","2010",,"9815/3"
"9728/3","2001","2009","2010",,"9816/3"
"9728/3","2001","2009","2010",,"9817/3"
"9728/3","2001","2009","2010",,"9818/3"
"9728/3","2001","2009","2021",,"9819/3"
"9728/3","2001","2009","2001",,"9820/3"
"9728/3","2001","2009","2001",,"9835/3"
"9728/3","2001","2009","2001",,"9836/3"
