morphology,valid start year,valid end year,start year,end year,transform from
9688/3,2010,,,,9659/3
9680/3,1978,,2010,,9651/3
9680/3,1978,,2010,,9653/3
9680/3,1978,,2010,,9659/3
9680/3,1978,,2010,,9670/3
9680/3,1978,,2010,,9671/3
9680/3,1978,,2010,,9675/3
9680/3,1978,,2010,,9689/3
9680/3,1978,,2010,,9690/3
9680/3,1978,,2010,,9691/3
9680/3,1978,,2010,,9695/3
9680/3,1978,,2010,,9698/3
9680/3,1978,,2010,,9699/3
9680/3,1978,,2010,,9761/3
9680/3,1978,,2010,,9762/3
9680/3,1978,,2010,,9823/3
9680/3,1978,,2010,,9940/3
9651/3,1978,,2010,,9671/3
9651/3,1978,,2010,,9761/3
9652/3,2001,,2010,,9671/3
9652/3,2001,,2010,,9761/3
9659/3,1992,,2010,,9671/3
9659/3,1992,,2010,,9761/3
9655/3,2001,,2010,,9671/3
9655/3,2001,,2010,,9761/3
9867/3,2001,,2010,,9875/3
9867/3,2001,,2010,,9920/3
9867/3,2001,,2010,,9945/3
9867/3,2001,,2010,,9950/3
9867/3,2001,,2010,,9960/3
9867/3,2001,,2010,,9961/3
9867/3,2001,,2010,,9962/3
9867/3,2001,,2010,,9963/3
9867/3,2001,,2010,,9964/3
9867/3,2001,,2010,,9975/3
9867/3,2001,,2010,,9980/3
9867/3,2001,,2010,,9982/3
9867/3,2001,,2010,,9983/3
9867/3,2001,,2010,,9984/3
9867/3,2001,,2010,,9985/3
9867/3,2001,,2010,,9986/3
9867/3,2001,,2010,,9987/3
9867/3,2001,,2010,,9989/3
9867/3,2001,,2010,,9991/3
9867/3,2001,,2010,,9992/3
9867/3,2001,,2021,,9993/3
9653/3,2001,,2010,,9671/3
9653/3,2001,,2010,,9761/3
9870/3,2001,,2010,,9875/3
9870/3,2001,,2010,,9920/3
9870/3,2001,,2010,,9945/3
9870/3,2001,,2010,,9950/3
9870/3,2001,,2010,,9960/3
9870/3,2001,,2010,,9961/3
9870/3,2001,,2010,,9962/3
9870/3,2001,,2010,,9963/3
9870/3,2001,,2010,,9964/3
9870/3,2001,,2010,,9975/3
9870/3,2001,,2010,,9980/3
9870/3,2001,,2010,,9982/3
9870/3,2001,,2010,,9983/3
9870/3,2001,,2010,,9984/3
9870/3,2001,,2010,,9985/3
9870/3,2001,,2010,,9986/3
9870/3,2001,,2010,,9987/3
9870/3,2001,,2010,,9989/3
9870/3,2001,,2010,,9991/3
9870/3,2001,,2010,,9992/3
9870/3,2001,,2021,,9993/3
9871/3,2001,,2010,,9875/3
9871/3,2001,,2010,,9920/3
9871/3,2001,,2010,,9945/3
9871/3,2001,,2010,,9950/3
9871/3,2001,,2010,,9960/3
9871/3,2001,,2010,,9961/3
9871/3,2001,,2010,,9962/3
9871/3,2001,,2010,,9963/3
9871/3,2001,,2010,,9964/3
9871/3,2001,,2010,,9975/3
9871/3,2001,,2010,,9980/3
9871/3,2001,,2010,,9982/3
9871/3,2001,,2010,,9983/3
9871/3,2001,,2010,,9984/3
9871/3,2001,,2010,,9985/3
9871/3,2001,,2010,,9986/3
9871/3,2001,,2010,,9987/3
9871/3,2001,,2010,,9989/3
9871/3,2001,,2010,,9991/3
9871/3,2001,,2010,,9992/3
9871/3,2001,,2021,,9993/3
9650/3,2001,,2010,,9671/3
9650/3,2001,,2010,,9761/3
9866/3,2001,,2010,,9875/3
9866/3,2001,,2010,,9920/3
9866/3,2001,,2010,,9945/3
9866/3,2001,,2010,,9950/3
9866/3,2001,,2010,,9960/3
9866/3,2001,,2010,,9961/3
9866/3,2001,,2010,,9962/3
9866/3,2001,,2010,,9963/3
9866/3,2001,,2010,,9964/3
9866/3,2001,,2010,,9975/3
9866/3,2001,,2010,,9980/3
9866/3,2001,,2010,,9982/3
9866/3,2001,,2010,,9983/3
9866/3,2001,,2010,,9984/3
9866/3,2001,,2010,,9985/3
9866/3,2001,,2010,,9986/3
9866/3,2001,,2010,,9987/3
9866/3,2001,,2010,,9989/3
9866/3,2001,,2010,,9991/3
9866/3,2001,,2010,,9992/3
9866/3,2001,,2021,,9993/3
9891/3,2001,,2010,,9875/3
9891/3,2001,,2010,,9920/3
9891/3,2001,,2010,,9945/3
9891/3,2001,,2010,,9950/3
9891/3,2001,,2010,,9960/3
9891/3,2001,,2010,,9961/3
9891/3,2001,,2010,,9962/3
9891/3,2001,,2010,,9963/3
9891/3,2001,,2010,,9964/3
9891/3,2001,,2010,,9975/3
9891/3,2001,,2010,,9980/3
9891/3,2001,,2010,,9982/3
9891/3,2001,,2010,,9983/3
