morphology,valid start year,valid end year,start year,end year,transform to
9689/3,2001,,2010,,9680/3
9761/1,2021,,,,9671/3
9761/1,2021,,,,9761/3
9980/3,2001,,2010,,9840/3
9980/3,2001,,2010,,9861/3
9980/3,2001,,2010,,9865/3
9980/3,2001,,2010,,9866/3
9980/3,2001,,2010,,9867/3
9980/3,2001,,2010,,9869/3
9980/3,2001,,2010,,9870/3
9980/3,2001,,2010,,9871/3
9980/3,2001,,2010,,9872/3
9980/3,2001,,2010,,9873/3
9980/3,2001,,2010,,9874/3
9980/3,2001,,2021,,9877/3
9980/3,2001,,2021,,9878/3
9980/3,2001,,2021,,9879/3
9980/3,2001,,2010,,9891/3
9980/3,2001,,2010,,9895/3
9980/3,2001,,2010,,9896/3
9980/3,2001,,2010,,9897/3
9980/3,2001,,2010,,9910/3
9980/3,2001,,2010,,9911/3
9980/3,2001,,2021,,9912/3
9695/3,2001,,2010,,9680/3
9982/3,2001,,2010,,9840/3
9982/3,2001,,2010,,9861/3
9982/3,2001,,2010,,9865/3
9982/3,2001,,2010,,9866/3
9982/3,2001,,2010,,9867/3
9982/3,2001,,2010,,9869/3
9982/3,2001,,2010,,9870/3
9982/3,2001,,2010,,9871/3
9982/3,2001,,2010,,9872/3
9982/3,2001,,2010,,9873/3
9982/3,2001,,2010,,9874/3
9982/3,2001,,2021,,9877/3
9982/3,2001,,2021,,9878/3
9982/3,2001,,2021,,9879/3
9982/3,2001,,2010,,9891/3
9982/3,2001,,2010,,9895/3
9982/3,2001,,2010,,9896/3
9982/3,2001,,2010,,9897/3
9982/3,2001,,2010,,9910/3
9982/3,2001,,2010,,9911/3
9982/3,2001,,2021,,9912/3
9983/3,2001,,2010,,9840/3
9983/3,2001,,2010,,9861/3
9983/3,2001,,2010,,9865/3
9983/3,2001,,2010,,9866/3
9983/3,2001,,2010,,9867/3
9983/3,2001,,2010,,9869/3
9983/3,2001,,2010,,9871/3
9983/3,2001,,2010,,9872/3
9983/3,2001,,2010,,9873/3
9983/3,2001,,2010,,9874/3
9983/3,2001,,2021,,9877/3
9983/3,2001,,2021,,9878/3
9983/3,2001,,2021,,9879/3
9983/3,2001,,2010,,9891/3
9983/3,2001,,2010,,9895/3
9983/3,2001,,2010,,9896/3
9983/3,2001,,2010,,9897/3
9983/3,2001,,2010,,9910/3
9983/3,2001,,2010,,9911/3
9983/3,2001,,2021,,9912/3
9651/3,1978,,2010,,9680/3
9690/3,2001,,2010,,9680/3
9691/3,2001,,2010,,9680/3
9964/3,2001,,2010,,9840/3
9964/3,2001,,2010,,9861/3
9964/3,2001,,2010,,9865/3
9964/3,2001,,2010,,9866/3
9964/3,2001,,2010,,9867/3
9964/3,2001,,2010,,9869/3
9964/3,2001,,2010,,9870/3
9964/3,2001,,2010,,9871/3
9964/3,2001,,2010,,9872/3
9964/3,2001,,2010,,9873/3
9964/3,2001,,2010,,9874/3
9964/3,2001,,2010,,9891/3
9964/3,2001,,2010,,9895/3
9964/3,2001,,2010,,9896/3
9964/3,2001,,2010,,9897/3
9964/3,2001,,2010,,9910/3
9964/3,2001,,2010,,9911/3
9962/3,2001,,2010,,9840/3
9962/3,2001,,2010,,9861/3
9962/3,2001,,2010,,9865/3
9962/3,2001,,2010,,9866/3
9962/3,2001,,2010,,9867/3
9962/3,2001,,2010,,9869/3
9962/3,2001,,2010,,9870/3
9962/3,2001,,2010,,9871/3
9962/3,2001,,2010,,9872/3
9962/3,2001,,2010,,9873/3
9962/3,2001,,2010,,9874/3
9962/3,2001,,2010,,9891/3
9962/3,2001,,2010,,9895/3
9962/3,2001,,2010,,9896/3
9962/3,2001,,2010,,9897/3
9962/3,2001,,2010,,9910/3
9962/3,2001,,2010,,9911/3
9659/3,1992,,2010,,9680/3
9698/3,2001,,2010,,9680/3
9653/3,2001,,2010,,9680/3
9671/3,2001,,2010,,9650/3
9671/3,2001,,2010,,9651/3
9671/3,2001,,2010,,9652/3
9671/3,2001,,2010,,9653/3
9671/3,2001,,2010,,9655/3
9671/3,2001,,2010,,9659/3
9671/3,2001,,2010,,9663/3
9671/3,2001,,2010,,9680/3
9680/1,2021,,2019,,9680/3
9699/3,2001,,2010,,9680/3
9875/3,2001,,2010,,9840/3
9875/3,2001,,2010,,9861/3
9875/3,2001,,2010,,9865/3
9875/3,2001,,2010,,9866/3
9875/3,2001,,2010,,9867/3
9875/3,2001,,2010,,9869/3
9875/3,2001,,2010,,9870/3
9875/3,2001,,2010,,9871/3
9875/3,2001,,2010,,9872/3
9875/3,2001,,2010,,9873/3
9875/3,2001,,2010,,9874/3
9875/3,2001,,2010,,9891/3
9875/3,2001,,2010,,9895/3
9875/3,2001,,2010,,9896/3
9875/3,2001,,2010,,9897/3
9875/3,2001,,2010,,9910/3
9875/3,2001,,2010,,9911/3
9670/3,2001,2009,2010,,9680/3
9961/3,2001,,2010,,9840/3
9961/3,2001,,2010,,9861/3
9961/3,2001,,2010,,9865/3
9961/3,2001,,2010,,9866/3
9961/3,2001,,2010,,9867/3
9961/3,2001,,2010,,9869/3
9961/3,2001,,2010,,9870/3
9961/3,2001,,2010,,9871/3
9961/3,2001,,2010,,9872/3
9961/3,2001,,2010,,9873/3
9961/3,2001,,2010,,9874/3
9961/3,2001,,2010,,9891/3
9961/3,2001,,2010,,9895/3
9961/3,2001,,2010,,9896/3
9961/3,2001,,2010,,9897/3
9961/3,2001,,2010,,9910/3
9961/3,2001,,2010,,9911/3
9765/1,2001,,,,9732/3
9940/3,2001,,2010,,9680/3
9985/3,2001,,2010,,9840/3
9985/3,2001,,2010,,9861/3
9985/3,2001,,2010,,9865/3
9985/3,2001,,2010,,9866/3
9985/3,2001,,2010,,9867/3
9985/3,2001,,2010,,9869/3
9985/3,2001,,2010,,9870/3
9985/3,2001,,2010,,9871/3
9985/3,2001,,2010,,9872/3
9985/3,2001,,2010,,9873/3
9985/3,2001,,2010,,9874/3
9985/3,2001,,2021,,9877/3
9985/3,2001,,2021,,9878/3
9985/3,2001,,2021,,9879/3
9985/3,2001,,2010,,9891/3
9985/3,2001,,2010,,9895/3
9985/3,2001,,2010,,9896/3
9985/3,2001,,2010,,9897/3
9985/3,2001,,2010,,9910/3
9985/3,2001,,2010,,9911/3
9985/3,2001,,2021,,9912/3
9946/3,2001,,2010,,9861/3
9946/3,2001,,2010,,9865/3
9946/3,2001,,2010,,9866/3
9946/3,2001,,2010,,9867/3
9946/3,2001,,2010,,9869/3
9946/3,2001,,2010,,9871/3
9946/3,2001,,2010,,9872/3
9946/3,2001,,2010,,9873/3
9946/3,2001,,2010,,9874/3
9946/3,2001,,2010,,9895/3
9946/3,2001,,2010,,9896/3
9946/3,2001,,2010,,9897/3
9946/3,2001,,2010,,9911/3
9945/3,2001,,2010,,9840/3
9945/3,2001,,2010,,9861/3
9945/3,2001,,2010,,9865/3
9945/3,2001,,2010,,9866/3
9945/3,2001,,2010,,9867/3
9945/3,2001,,2010,,9869/3
9945/3,2001,,2010,,9870/3
9945/3,2001,,2010,,9871/3
9945/3,2001,,2010,,9872/3
9945/3,2001,,2010,,9873/3
9945/3,2001,,2010,,9874/3
9945/3,2001,,2010,,9891/3
9945/3,2001,,2010,,9895/3
9945/3,2001,,2010,,9896/3
9945/3,2001,,2010,,9897/3
9945/3,2001,,2010,,9910/3
9945/3,2001,,2010,,9911/3
